,Family Friendly,Nightlife,Visual Arts,Performing Arts,Natural,Architecture,Science,Culinary,Ethnic,Water,Historical,Relaxation,Play,Sports,Iconic,Public,Scenic,Educational,Shopping,Animals,Plants,Modern,Beach,Walking
Empire State Building,5,0,0,0,0,5,0,0,0,0,5,2,0,0,5,2,5,2,1,0,0,1,0,0
Brooklyn Bridge,4,0,0,0,0,5,0,0,0,2,5,1,0,0,5,4,5,0,0,0,0,1,0,3
Central Park,5,0,2,2,3,3,0,0,0,1,4,5,3,2,5,5,5,2,0,3,3,1,0,5
The Statue of Liberty,5,0,2,0,0,4,0,0,0,2,5,0,0,0,5,3,4,3,1,0,0,0,0,2
Grand Central Terminal,3,0,0,2,0,4,0,0,0,0,3,0,0,0,4,3,1,0,1,0,0,2,0,1
American Museum of Natural History,5,0,0,0,4,3,4,0,0,0,2,0,1,0,3,3,0,5,1,0,0,2,0,1
Staten Island Ferry,3,0,0,0,0,0,0,0,0,5,3,4,0,0,3,0,4,0,0,0,0,1,0,0
Prospect Park,4,0,0,0,5,0,0,0,0,2,1,5,2,2,1,5,4,0,0,3,3,0,0,5
Chrysler Building,4,0,0,0,0,5,0,0,0,0,3,0,0,0,4,3,4,0,0,0,0,4,0,0
Yankee Stadium,4,0,0,0,0,3,0,0,0,0,5,0,2,5,4,2,0,1,1,0,0,1,0,0
Coney Island,5,0,0,0,0,0,0,0,0,0,3,4,5,0,4,0,0,0,1,0,0,4,0,3
Brooklyn Museum,5,0,5,0,0,4,0,0,0,0,3,3,0,0,3,3,2,5,1,0,0,2,0,1
New York Historical Society,5,0,0,0,0,3,0,0,0,0,5,3,0,0,2,3,2,5,0,0,0,2,0,1
Brox Zoo,5,0,0,0,4,0,3,0,0,0,2,4,2,0,3,2,3,5,1,5,4,1,0,2
Guggenheim Museum,5,0,5,3,0,5,0,0,0,0,1,4,0,0,3,2,3,5,1,0,0,5,0,0
BLDG 92,4,0,0,0,0,2,5,0,0,4,5,2,2,0,3,4,2,4,1,0,0,1,0,2
New York Botanical Garden,5,0,0,0,4,0,3,0,0,0,3,5,0,0,3,5,4,3,1,0,5,2,0,2
The High Line,4,0,1,0,3,5,2,0,0,0,0,4,2,0,1,4,4,2,0,0,5,3,0,1
Green-Wood Cementery,2,0,0,0,0,3,0,0,0,0,4,1,0,0,2,1,2,0,0,0,2,0,0,3
Corona Park,5,0,0,0,4,3,0,0,0,0,4,4,2,2,4,5,3,0,0,3,3,0,0,4
Apollo Theater,3,3,0,5,0,1,0,0,0,0,5,2,0,0,3,3,0,0,0,0,0,0,0,0
Macy's Hearld Square,3,2,0,0,0,3,0,3,0,0,4,0,2,0,4,3,0,0,5,0,0,3,0,3
South Street Seaport,4,0,0,0,0,4,0,3,0,5,4,2,2,0,3,5,3,0,3,0,0,0,0,1
Brooklyn Botanical Garden,5,0,0,0,4,3,3,0,0,0,2,5,2,0,3,5,4,0,0,0,5,1,0,2
The Metropolitan Museum of Art,5,0,5,2,0,3,0,0,0,0,4,4,0,0,5,1,0,5,0,0,0,2,0,1